0285 sam 1
0286 sank 2
0287 sat 1
0288 saturday 2
0289 save 1
0290 saying 1
0291 scarlet 1
0292 scheduled 2
0293 score 1
0294 scored 5
0295 scoring 3
0296 sea 2
0297 sealed 1
0298 season 1
0299 seasonhigh 1
0300 second 3
0301 secondworst 1
0302 secretary 1
0303 security 2
0304 selection 1
0305 send 1
0306 seven 1
0307 shoot 1
0308 shooting 1
0309 shot 5
0310 shots 1
0311 showed 1
0312 sidney 1
0313 singledigit 1
0314 singletary 1
0315 site 1
0316 slowly 1
0317 snake 1
0318 snapped 1
0319 spilling 1
0320 square 1
0321 staff 1
0322 start 3
0323 started 2
0324 states 1
0325 straight 1
0326 streak 2
0327 stressed 1
0328 stretch 1
0329 stretched 1
0330 stricken 1
0331 struggled 1
0332 struggling 1
0333 submarine 7
0334 submerged 1
0335 success 1
0336 successful 1
0337 taba 1
0338 tanker 1
0339 team 1
0340 technical 1
0341 television 1
0342 temple 1
0343 thorpe 2
0344 throw 1
0345 throwing 1
0346 throws 1
0347 tiananmen 1
0348 tight 1
0349 time 1
0350 tired 1
0351 today 4
0352 todd 1
0353 took 2
0354 tournament 1
0355 tripledouble 1
0356 troy 1
0357 tuesday 1
0358 u.s 1
0359 understand 1
0360 united 1
0361 used 1
0362 valery 1
0363 victory 1
0364 wants 1
0365 way 1
0366 weather 2
0367 wednesday 2
0368 week 2
0369 welcome 1
0370 went 1
0371 wesley 3
0372 west 1
0373 win 1
0374 winners 1
0375 winning 1
0376 withdrawal 1
0377 work 1
0378 world 1
0379 xavier 1
0380 year 2
0381 years 1
